"municipality_code","municipality_name"
"130101",LA VEGA (D. M.)
"130102",RÍO VERDE ARRIBA (D. M.)
"130103",EL RANCHITO (D. M.)
"130104",TAVERAS (D. M.)
"130105",DON JUAN RODRÍGUEZ (D.M.)
"130201",CONSTANZA (D. M.)
"130202",TIREO (D. M.)
"130203",LA SABINA (D. M.)
"130301",JARABACOA (D. M.)
"130302",BUENA VISTA (D. M.)
"130303",MANABAO (D. M.)
"130401",JIMA ABAJO (D. M.)
"130402",RINCÓN (D. M.)
"140101",NAGUA (D. M.)
"140102",SAN JOSÉ DE MATANZAS (D. M.)
"140103",LAS GORDAS (D. M.)
"140104",ARROYO AL MEDIO (D. M.)
"140201",CABRERA (D. M.)
"140202",ARROYO SALADO (D. M.)
"140203",LA ENTRADA (D. M.)
"140301",EL FACTOR (D. M.)
"140302",EL POZO (D. M.)
"140401",RÍO SAN JUAN (D. M.)
"150101",MONTE CRISTI (D. M.)
"150201",CASTAÑUELAS (D. M.)
"150202",PALO VERDE (D. M.)
"150301",GUAYUBÍN (D. M.)
"150302",VILLA ELISA (D. M.)
"150303",HATILLO PALMA (D. M.)
"150304",CANA CHAPETÓN (D. M.)
"150401",LAS MATAS DE SANTA CRUZ (D. M.)
"150501",PEPILLO SALCEDO (MANZANILLO)
"150502",SANTA MARÍA (D. M.)
"150601",VILLA VÁSQUEZ
"160101",PEDERNALES
"160102",JOSÉ FRANCISCO PEÑA GÓMEZ (D. M.)
"160201",OVIEDO
"160202",JUANCHO (D. M.)
"170101",BANÍ (D. M.)
"170102",MATANZAS (D. M.)
"170103",VILLA FUNDACIÓN (D. M.)
"170104",SABANA BUEY (D. M.)
"170105",PAYA (D. M.)
"170106",VILLA SOMBRERO (D. M.)
"170107",EL CARRETÓN (D. M.)
"170108",CATALINA (D. M.)
"170109",EL LIMONAL (D. M.)
"170110",LAS BARÍAS (D. M.)
"170201",NIZAO
"170202",PIZARRETE (D. M.)
"170203",SANTANA (D. M.)
"170301",MATANZAS
"180101",PUERTO PLATA (D. M.)
"180102",YÁSICA ARRIBA (D. M.)
"180103",MAIMÓN (D. M.)
"180201",ALTAMIRA
"180202",RÍO GRANDE (D. M.)
"180301",GUANANICO
"180401",IMBERT
"180501",LOS HIDALGOS
"180502",NAVAS (D. M.)
"180601",LUPERÓN
"180602",LA ISABELA (D. M.)
"180603",BELLOSO (D. M.)
"180604",EL ESTRECHO DE LUPERÓN OMAR BROSS (D. M.)
"180701",SOSÚA
"180702",CABARETE (D. M.)
"180703",SABANETA DE YÁSICA (D. M.)
"180801",VILLA ISABELA
"180802",ESTERO HONDO (D. M.)
"180803",LA JAIBA (D. M.)
"180804",GUALETE (D. M.)
"180901",VILLA MONTELLANO
"190101",SALCEDO
"190102",JAMAO AFUERA (D. M.)
"190201",TENARES
"190202",BLANCO (D. M.)
"190301",VILLA TAPIA
"200101",SAMANÁ
"200102",EL LIMÓN (D. M.)
"200103",ARROYO BARRIL (D. M.)
"200104",LAS GALERAS (D. M.)
"200201",SÁNCHEZ (D. M.)
"200301",LAS TERRENAS
"210101",SAN CRISTÓBAL (D. M.)
"210102",HATO DAMAS (D. M.)
"210103",HATILLO (D. M.)
"210201",SABANA GRANDE DE PALENQUE (D. M.)
"210301",BAJOS DE HAINA
"210302",EL CARRIL (D. M.)
"210303",QUITA SUEÑO (D. M.)
"210401",CAMBITA GARABITOS
"210402",CAMBITA EL PUEBLECITO (D. M.)
"210501",VILLA ALTAGRACIA
"210502",SAN JOSÉ DEL PUERTO (D. M.)
"210503",MEDINA (D. M.)
"210504",LA CUCHILLA (D. M.)
"210601",YAGUATE (D. M.)
"210602",DOÑA ANA (D. M.)
"210701",SAN GREGORIO DE NIGUA
"210801",LOS CACAOS (D. M.)
"220101",SAN JUAN
"220102",PEDRO CORTO (D. M.)
"220103",SABANETA (D. M.)
"220104",SABANA ALTA (D. M.)
"220105",EL ROSARIO (D. M.)
"220106",HATO DEL PADRE (D. M.)
"220107",GUANITO (D. M.)
"220108",LA JAGUA (D. M.)
"220109",LAS MAGUANAS-HATO NUEVO (D. M.)
"220110",LAS CHARCAS DE MARÍA NOVA (D. M.)
"220111",LAS ZANJAS (D. M.)
"220201",BOHECHÍO
"220202",ARROYO CANO (D. M.)
"220203",YAQUE (D. M.)
"220301",EL CERCADO
"220302",DERRUMBADERO (D. M.)
"220303",BATISTA (D. M.)
"220401",JUAN DE HERRERA
"220402",JÍNOVA (D. M.)
"220501",LAS MATAS DE FARFÁN
"220502",MATAYAYA (D. M.)
"220503",CARRERA DE YEGUAS (D. M.)
"220601",VALLEJUELO
"220602",JORJILLO (D. M.)
"230101",SAN PEDRO DE MACORÍS
"230201",LOS LLANOS
"230202",EL PUERTO (D. M.)
"230203",GAUTIER (D. M.)
"230301",RAMÓN SANTANA
"230401",CONSUELO
"230501",QUISQUEYA
"230601",GUAYACANES
"240101",COTUÍ
"240102",QUITA SUEÑO (D. M.)
"240103",CABALLERO (D. M.)
"240104",COMEDERO ARRIBA (D. M.)
"240105",PLATANAL (D. M.)
"240106",ZAMBRANA ABAJO
"240201",CEVICOS
"240202",LA CUEVA (D. M.)
"240301",FANTINO
"240401",LA MATA
"240402",LA BIJA (D. M.)
"240403",ANGELINA (D. M.)
"240404",HERNANDO ALONZO (D. M.)
"250101",SANTIAGO
"250102",PEDRO GARCÍA (D. M.)
"250104",BAITOA (D. M.)
"250105",LA CANELA (D. M.)
"250106",SAN FRANCISCO DE JACAGUA (D. M.)
"250107",HATO DEL YAQUE (D. M.)
"250201",VILLA BISONÓ (NAVARRETE) (D. M.)
"250301",JÁNICO
"250302",JUNCALITO (D. M.)
"250303",EL CAIMITO (D. M.)
"250401",LICEY AL MEDIO
"250402",LAS PALOMAS (D. M.)
"250501",SAN JOSÉ DE LAS MATAS
"250502",EL RUBIO (D. M.)
"250503",LA CUESTA (D. M.)
"250504",LAS PLACETAS (D. M.)
"250601",TAMBORIL
"250602",CANCA LA PIEDRA (D. M.)
"250701",VILLA GONZÁLEZ
"250702",PALMAR ARRIBA (D. M.)
"250703",EL LIMÓN (D. M.)
"250801",PUÑAL
"250802",GUAYABAL (D. M.)
"250803",CANABACOA (D. M.)
"250901",SABANA IGLESIA
"251001",BAITOA
"260101",SAN IGNACIO DE SABANETA (D. M.)
"260201",VILLA LOS ALMÁCIGOS (D. M.)
"260301",MONCIÓN (D. M.)
"270101",MAO (D. M.)
"270102",AMINA (D. M.)
